# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1755487230.835677862, 0.000000002, 0.000000004, 0.000000005, 0.000000044, 0.000000061, 0.000000085, 0.000000001, 0.000000002, 0.000000003, 0.000000034, 0.000000045, 0.000000057, 1, 1, 0, 0, 16.000000000
1755487230.855550766, 0.000000019, 0.000000043, 0.000000049, 0.000000041, 0.000000055, 0.000000069, 0.000000005, 0.000000009, 0.000000010, 0.000000027, 0.000000042, 0.000000053, 0, 0, 1, 1, 28.000000000
1755487230.937164545, 0.000000002, 0.000000004, 0.000000005, 0.000000051, 0.000000074, 0.000000094, 0.000000002, 0.000000003, 0.000000003, 0.000000034, 0.000000052, 0.000000066, 1, 1, 0, 0, 19.000000000
1755487230.956515551, 0.000000016, 0.000000036, 0.000000040, 0.000000041, 0.000000062, 0.000000078, 0.000000004, 0.000000008, 0.000000011, 0.000000028, 0.000000047, 0.000000058, 0, 0, 1, 1, 26.000000000
1755487231.036366463, 0.000000002, 0.000000004, 0.000000006, 0.000000049, 0.000000079, 0.000000097, 0.000000002, 0.000000003, 0.000000004, 0.000000032, 0.000000059, 0.000000068, 1, 1, 0, 0, 18.000000000
1755487231.056031942, 0.000000020, 0.000000046, 0.000000052, 0.000000038, 0.000000069, 0.000000080, 0.000000004, 0.000000008, 0.000000011, 0.000000024, 0.000000041, 0.000000059, 0, 0, 1, 1, 23.000000000
1755487231.156368017, 0.000000057, 0.000000167, 0.000000194, 0.000000075, 0.000000111, 0.000000150, 0.000000004, 0.000000009, 0.000000014, 0.000000032, 0.000000050, 0.000000058, 0, 0, 1, 1, 24.000000000
1755487231.238186836, 0.000000002, 0.000000005, 0.000000009, 0.000000060, 0.000000074, 0.000000096, 0.000000002, 0.000000002, 0.000000004, 0.000000040, 0.000000058, 0.000000068, 1, 1, 0, 0, 17.000000000
1755487231.256699562, 0.000000011, 0.000000022, 0.000000024, 0.000000042, 0.000000062, 0.000000073, 0.000000003, 0.000000007, 0.000000008, 0.000000026, 0.000000035, 0.000000057, 0, 0, 1, 1, 22.000000000
1755487231.336899519, 0.000000002, 0.000000004, 0.000000006, 0.000000048, 0.000000065, 0.000000095, 0.000000002, 0.000000002, 0.000000003, 0.000000029, 0.000000039, 0.000000058, 1, 1, 0, 0, 16.000000000
1755487231.356097460, 0.000000013, 0.000000037, 0.000000039, 0.000000034, 0.000000046, 0.000000069, 0.000000004, 0.000000008, 0.000000009, 0.000000025, 0.000000038, 0.000000046, 0, 0, 1, 1, 21.000000000
1755487231.437324286, 0.000000002, 0.000000004, 0.000000006, 0.000000047, 0.000000070, 0.000000090, 0.000000001, 0.000000002, 0.000000003, 0.000000036, 0.000000045, 0.000000062, 1, 1, 0, 0, 18.000000000
1755487231.457976103, 0.000000011, 0.000000051, 0.000000053, 0.000000043, 0.000000054, 0.000000075, 0.000000006, 0.000000008, 0.000000012, 0.000000028, 0.000000043, 0.000000063, 0, 0, 1, 1, 22.000000000
1755487231.536483526, 0.000000003, 0.000000005, 0.000000008, 0.000000052, 0.000000076, 0.000000109, 0.000000002, 0.000000003, 0.000000003, 0.000000035, 0.000000044, 0.000000069, 1, 1, 0, 0, 17.000000000
1755487231.556293488, 0.000000013, 0.000000038, 0.000000040, 0.000000042, 0.000000051, 0.000000082, 0.000000004, 0.000000006, 0.000000007, 0.000000022, 0.000000041, 0.000000054, 0, 0, 1, 1, 27.000000000
1755487231.637584209, 0.000000002, 0.000000005, 0.000000008, 0.000000046, 0.000000071, 0.000000097, 0.000000002, 0.000000003, 0.000000004, 0.000000032, 0.000000045, 0.000000060, 1, 1, 0, 0, 15.000000000
1755487231.657895565, 0.000000012, 0.000000053, 0.000000057, 0.000000039, 0.000000054, 0.000000071, 0.000000003, 0.000000005, 0.000000008, 0.000000020, 0.000000035, 0.000000047, 0, 0, 1, 1, 25.000000000
1755487231.735971451, 0.000000003, 0.000000005, 0.000000009, 0.000000043, 0.000000068, 0.000000080, 0.000000002, 0.000000003, 0.000000004, 0.000000026, 0.000000039, 0.000000051, 1, 1, 0, 0, 11.000000000
1755487231.756078720, 0.000000012, 0.000000038, 0.000000040, 0.000000032, 0.000000047, 0.000000063, 0.000000004, 0.000000006, 0.000000009, 0.000000024, 0.000000033, 0.000000043, 0, 0, 1, 1, 21.000000000
1755487231.837418318, 0.000000002, 0.000000005, 0.000000010, 0.000000050, 0.000000073, 0.000000080, 0.000000002, 0.000000002, 0.000000004, 0.000000023, 0.000000049, 0.000000054, 1, 1, 0, 0, 16.000000000
1755487231.856544018, 0.000000013, 0.000000050, 0.000000053, 0.000000028, 0.000000058, 0.000000065, 0.000000006, 0.000000008, 0.000000009, 0.000000024, 0.000000035, 0.000000049, 0, 0, 1, 1, 21.000000000
1755487231.936315298, 0.000000002, 0.000000005, 0.000000011, 0.000000050, 0.000000071, 0.000000085, 0.000000001, 0.000000002, 0.000000003, 0.000000018, 0.000000039, 0.000000052, 1, 1, 0, 0, 17.000000000
1755487231.956176996, 0.000000016, 0.000000067, 0.000000070, 0.000000022, 0.000000046, 0.000000063, 0.000000003, 0.000000007, 0.000000009, 0.000000020, 0.000000029, 0.000000047, 0, 0, 1, 1, 24.000000000
1755487232.037492752, 0.000000002, 0.000000005, 0.000000013, 0.000000049, 0.000000058, 0.000000083, 0.000000002, 0.000000003, 0.000000004, 0.000000024, 0.000000048, 0.000000050, 1, 1, 0, 0, 18.000000000
1755487232.056939363, 0.000000015, 0.000000050, 0.000000054, 0.000000030, 0.000000056, 0.000000060, 0.000000003, 0.000000005, 0.000000007, 0.000000024, 0.000000033, 0.000000047, 0, 0, 1, 1, 28.000000000
1755487232.136281252, 0.000000002, 0.000000005, 0.000000011, 0.000000051, 0.000000068, 0.000000079, 0.000000002, 0.000000002, 0.000000004, 0.000000029, 0.000000043, 0.000000054, 1, 1, 0, 0, 26.000000000
1755487232.155980587, 0.000000014, 0.000000037, 0.000000040, 0.000000036, 0.000000051, 0.000000062, 0.000000002, 0.000000005, 0.000000007, 0.000000027, 0.000000035, 0.000000048, 0, 0, 1, 1, 27.000000000
1755487232.236876726, 0.000000002, 0.000000005, 0.000000012, 0.000000057, 0.000000076, 0.000000080, 0.000000002, 0.000000002, 0.000000004, 0.000000037, 0.000000051, 0.000000059, 1, 1, 0, 0, 21.000000000
1755487232.256368399, 0.000000016, 0.000000051, 0.000000052, 0.000000046, 0.000000062, 0.000000067, 0.000000003, 0.000000005, 0.000000007, 0.000000031, 0.000000034, 0.000000052, 0, 0, 1, 1, 30.000000000
